ref_date,BA,NOC,SO,WY
2018-01-02,282.886383,281.694733,37.870777,28.941029
2018-01-03,283.801239,282.996002,37.654018,29.195183
2018-01-04,282.724426,284.749451,37.493439,28.957413
2018-01-05,294.322357,284.444885,37.557667,28.916426
2018-01-08,295.570709,284.481812,37.894871,29.104996
2018-01-09,303.461517,286.44754,37.421181,28.90822
2018-01-10,305.205505,283.881927,36.899326,28.555693
2018-01-11,312.696045,285.672241,36.329292,28.686863
2018-01-12,320.405731,290.840271,36.000126,28.90822
2018-01-16,319.40509,288.43161,35.855602,28.498297
2018-01-17,334.51004,293.018311,36.16872,28.867235
2018-01-18,324.170044,290.055939,36.048294,28.941029
2018-01-19,321.854248,291.966187,35.678974,29.350952
2018-01-22,322.111572,290.831116,35.357838,29.498518
2018-01-23,319.81488,289.299133,35.703064,30.015039
2018-01-24,318.957184,289.28064,35.38995,30.818501
2018-01-25,326.981384,299.930511,35.823502,30.933273
2018-01-26,327.086182,309.675964,35.574604,31.031664
2018-01-29,324.799042,312.241516,35.317696,30.392176
2018-01-30,321.835236,313.275177,35.968006,30.162617
2018-01-31,337.71209700000003,314.262634,36.216896,30.777508
2018-02-01,340.161285,316.41275,35.630817,30.465963
2018-02-02,332.508667,310.811157,35.462212,29.252573
2018-02-05,313.420288,297.503387,35.100925,28.522894
2018-02-06,324.884827,302.237732,34.916271,28.432711
2018-02-07,331.75589,311.613983,34.795837,28.301531
2018-02-08,315.714417,299.016907,34.844009,27.547264
2018-02-09,318.750336,307.027374,35.590668,27.703035
2018-02-12,329.256256,311.410889,35.871674,28.170359
2018-02-13,328.643402,316.874298,35.823502,28.047365
2018-02-14,330.261871,322.651367,34.988525,28.662268
2018-02-15,341.380737,329.379181,35.77533,28.654074
2018-02-16,340.020813,328.539276,35.734653,28.84264
2018-02-20,338.402313,323.334351,35.360462,28.645868
2018-02-21,337.463745,323.758881,34.913074,28.498297
2018-02-22,340.863556,321.737793,34.994415,28.580284
2018-02-23,341.572266,324.395691,35.848534,29.023006
2018-02-26,348.10379,327.699493,35.816002,29.23616
2018-02-27,349.214691,326.37973,35.303528,28.90822
2018-02-28,346.887482,323.038971,35.026958,28.719652
2018-03-01,334.897156,313.348969,35.775322,28.430065
2018-03-02,330.089478,317.617126,35.954277,28.670012
2018-03-05,337.827667,319.22818,36.474888,28.140465
2018-03-06,334.159668,316.524689,35.87294,28.322496
2018-03-07,332.359161,321.107666,35.523155,28.363867
2018-03-08,333.977753,320.681763,35.311665,28.521082
2018-03-09,339.522797,323.718567,35.596363,28.843777
2018-03-12,329.629761,319.163361,35.645172,29.058895
2018-03-13,324.343292,318.802307,35.458084,29.41469
2018-03-14,316.289093,314.885925,35.832268,29.158195
2018-03-15,316.020935,315.552582,35.734653,29.472605
