ticker,ref_date,volume,price_open,price_high,price_low,price_close,price_adjusted,ret_adjusted_prices,ret_closing_prices,cumret_adjusted_prices
ABBV,2013-01-02,1577351600,52.990002,54.779999,33.330002,52.810001,36.132145,NA,NA,1
ABBV,2014-01-02,2302354700,66.720001,70.760002,45.5,65.440002,46.219612,0.27918262256503157,0.23915926454915248,1.2791826225650316
ABBV,2015-01-02,2642498700,59.5,71.599998,45.450001,59.240002,43.215,-0.0650072960370155,-0.0947432733880419,1.1960264191345407
ABBV,2016-01-04,2020549900,62.73,68.120003,50.709999,62.619999,47.446606,0.09791984264722897,0.05705599064632039,1.3131411378981237
ABBV,2017-01-03,1503613200,98.139999,99.099998,59.27,96.709999,75.950104,0.6007489344970216,0.5443947707504753,2.102009277334628
ABBV,2018-01-02,1777750200,91.599998,125.860001,77.5,92.190002,75.223648,-0.00956491119485492,-0.04673763878334847,2.0819037452661613
ABBV,2019-01-02,1972901200,88.209999,92.300003,62.66,88.540001,76.328056,0.014681659682338255,-0.03959215664188842,2.1124695475455444
ABBV,2020-01-02,2390710600,105.260002,109.150002,62.549999,107.150002,97.484879,0.2771827832219387,0.21018749480249044,2.6980097362058078
ABBV,2021-01-04,1718548300,136.039993,136.830002,101.809998,135.399994,129.095352,0.32426026809757835,0.2636490104778533,3.5728670965977796
ABBV,2022-01-03,1623063300,162.229996,175.910004,128.259995,161.610001,160.088181,0.24007703236286937,0.19357465407273233,4.430630426175916
AEP,2010-01-04,857259300,36.029999,37.939999,28.26,35.98,22.860422,NA,NA,1
AEP,2011-01-03,949324000,41.630001,41.709999,33.09,41.310001,27.596449,0.2071714599144321,0.14813788215675383,1.207171459914432
AEP,2012-01-03,847389600,42.119999,45.41,36.970001,42.68,29.861794,0.08208827882167014,0.03316385782706721,1.3062660873014507
AEP,2013-01-02,806759600,46.77,51.599998,41.830002,46.740002,34.095955,0.1417919164535124,0.09512656982193057,1.4914840592181544
AEP,2014-01-02,680426800,61.82,63.220001,45.799999,60.720001,46.045708,0.3504742131434653,0.29910137787328317,2.0142107612886586
AEP,2015-01-02,709474200,58.82,65.379997,52.290001,58.27,45.872265,-0.0037667571535657807,-0.04034915941453954,2.0066237184947853
AEP,2016-01-04,699552500,63.32,71.32,56.75,62.959999,51.342457,0.11924835191809269,0.08048736914364163,2.2459102898450434
AEP,2017-01-03,579419300,73.870003,78.07,61.82,73.57,62.099129,0.20950832173847833,0.1685197136041885,2.716447185445658
AEP,2018-01-02,746757700,74.779999,81.050003,62.709999,74.739998,65.442757,0.05384339609658628,0.015903194236781326,2.8627099272270655
AEP,2019-01-02,600364000,94.169998,96.220001,72.260002,94.510002,85.415558,0.305194981317795,0.26451705283695626,3.7363946299853956
AEP,2020-01-02,794543400,81.529999,104.970001,65.139999,83.269997,77.719536,-0.09010093922233697,-0.11892926422750472,3.3997419645184155
AEP,2021-01-04,708010100,88.639999,91.489998,74.800003,88.970001,86.020744,0.1068097987615364,0.06845207404054543,3.762867719589778
AEP,2022-01-03,755071000,95.900002,105.599998,80.300003,94.949997,94.949997,0.10380348488964475,0.06721362181394164,4.1534665020619475
AMGN,2010-01-04,1684505300,55.470001,61.259998,50.259998,54.900002,41.153301,NA,NA,1
AMGN,2011-01-03,1746746500,64.349998,65,47.66,64.209999,48.632236,0.18173353821604743,0.16958099564367957,1.1817335382160474
AMGN,2012-01-03,1149780800,85,90.809998,63.299999,86.199997,66.543877,0.36830798814185717,0.3424699944318641,1.6169754401961582
AMGN,2013-01-02,986088700,115.910004,119.699997,81.559998,114.080002,89.698891,0.3479661096392086,0.323433943971019,2.1796280935033625
AMGN,2014-01-02,897796100,161.669998,173.139999,108.199997,159.289993,127.671371,0.4233327700785061,0.3963007556749518,3.1023360920670737
AMGN,2015-01-02,893317900,162.149994,181.809998,130.089996,162.330002,132.721359,0.03955458424582914,0.019084745643751733,3.2250477063796175
AMGN,2016-01-04,862822400,147.630005,176.850006,133.639999,146.210007,122.692902,-0.07556023443069182,-0.09930385511853823,2.9813623456354086
AMGN,2017-01-03,796388400,175.25,191.100006,147.119995,173.899994,150.014496,0.22268275959435702,0.18938503299572385,3.6452603401122063
AMGN,2018-01-02,870174800,191.929993,210.190002,163.309998,194.669998,172.866302,0.15233065209911434,0.11943648485692293,4.200545224792538
AMGN,2019-01-02,704684800,240.279999,244.990005,166.300003,241.070007,220.579254,0.27601071723047554,0.23835213169314362,5.359940725046576
AMGN,2020-01-02,709180900,227.309998,264.970001,177.050003,229.919998,216.19194,-0.019889966623969135,-0.04625216192904502,5.2533316829189465
AMGN,2021-01-04,669818600,226.259995,276.690002,198.639999,224.970001,218.081757,0.008741385085863973,-0.02152921469667024,5.299253078143111
AMGN,2022-01-03,748134800,262.730011,296.670013,214.389999,262.640015,262.640015,0.20431905269361894,0.1674446096481994,6.381991447053055
ANSS,2010-01-04,111258000,52.540001,53.639999,38.689999,52.07,52.07,NA,NA,1
ANSS,2011-01-03,114432800,56.970001,62.299999,45.720001,57.279999,57.279999,0.10005759554445937,0.10005759554445937,1.1000575955444594
ANSS,2012-01-03,116876800,67.029999,74.370003,55.209999,67.339996,67.339996,0.17562844231194918,0.17562844231194918,1.293258997503361
ANSS,2013-01-02,76242300,87.199997,89.709999,68.330002,87.199997,87.199997,0.29492132728965403,0.29492132728965403,1.6746686575763396
ANSS,2014-01-02,113848000,83.080002,87.150002,71.089996,82,82,-0.05963299517085985,-0.05963299517085985,1.5748031496062993
ANSS,2015-01-02,95930200,93.589996,98.389999,78.760002,92.5,92.5,0.12804878048780477,0.12804878048780477,1.7764547724217399
ANSS,2016-01-04,123374000,92.949997,98.989998,80.510002,92.489998,92.489998,-1.0812972972973345e-4,-1.0812972972973345e-4,1.7762626848473209
ANSS,2017-01-03,135988300,147.899994,155.139999,91.889999,147.589996,147.589996,0.5957400712669494,0.5957400712669494,2.8344535433070868
ANSS,2018-01-02,134591200,143.919998,190.449997,136.800003,142.940002,142.940002,-0.031506159807742073,-0.031506159807742073,2.7451507970040327
ANSS,2019-01-02,113850700,256.100006,260.100006,137.139999,257.410004,257.410004,0.8008255239845319,0.8008255239845319,4.943537622431343
ANSS,2020-01-02,131357200,363.809998,369.820007,200.070007,363.799988,363.799988,0.413309437654956,0.413309437654956,6.9867483771845595
ANSS,2021-01-04,99188100,404.899994,413.890015,292.790009,401.119995,401.119995,0.10258385989831331,0.10258385989831331,7.703475993854428
ANSS,2022-01-03,137173900,239.710007,403.179993,194.229996,241.589996,241.589996,-0.39771141052193126,-0.39771141052193126,4.639715690416747
ARE,2010-01-04,132978600,73.199997,76.190002,55.540001,73.260002,50.796535,NA,NA,1
ARE,2011-01-03,120199000,69.32,85.330002,56.099998,68.970001,49.105537,-0.033289632846019934,-0.058558570609921645,0.9667103671539801
ARE,2012-01-03,90486400,68.019997,77.099998,64.089996,69.32,50.830364,0.0351248984406789,0.0050746555738050425,1.000665970621815
ARE,2013-01-02,125236100,63.639999,78.43,60.860001,63.619999,48.550713,-0.04484821316644516,-0.08222736583958445,0.9557878898629601
ARE,2014-01-02,104520900,89.830002,91.489998,62.93,88.739998,70.292702,0.44782017928346396,0.39484437904502334,1.3838089940583547
ARE,2015-01-02,99792800,91.449997,102.959999,82.910004,90.360001,74.016914,0.0529814887468687,0.01825561231137285,1.457125254704873
ARE,2016-01-04,141544700,110.660004,114.669998,70.690002,111.129997,93.967712,0.2695437694146503,0.22985829758899623,1.849884288367307
ARE,2017-01-03,182266500,130.729996,134.369995,106.889999,130.589996,113.654449,0.2095053351942846,0.17511022698938805,2.23744491627234
ARE,2018-01-02,166646900,114,131,109.040001,115.239998,103.454803,-0.089742602157175555,-0.1175434449052285,2.0366507873027166
ARE,2019-01-02,180280400,159.619995,163.509995,110.660004,161.580002,149.016815,0.4404049950199027,0.402117362063821,2.9336019671420503
ARE,2020-01-02,230981700,174.929993,179.789993,109.220001,178.220001,168.795471,0.13272767908775918,0.10298303499216432,3.3229721476080996
ARE,2021-01-04,202702100,223.699997,224.949997,154.369995,222.960007,216.207794,0.2808862270955126,0.2510380751260348,4.256349256893212
ARE,2022-01-03,245403100,144.190002,224.330002,126.739998,145.669998,145.669998,-0.3262500148352654,-0.34665413784275667,2.8677152486877304
