"","price","volume","date","ticker"
"1",16930,0,2000-01-03,"^BVSP"
"2",15851,0,2000-01-04,"^BVSP"
"3",16245,0,2000-01-05,"^BVSP"
"4",16107,0,2000-01-06,"^BVSP"
"5",16309,0,2000-01-07,"^BVSP"
"6",17022,0,2000-01-10,"^BVSP"
"7",16573,0,2000-01-11,"^BVSP"
"8",16617,0,2000-01-12,"^BVSP"
"9",17298,0,2000-01-13,"^BVSP"
"10",17658,0,2000-01-14,"^BVSP"
"11",18053,0,2000-01-17,"^BVSP"
"12",17903,0,2000-01-18,"^BVSP"
"13",17470,0,2000-01-19,"^BVSP"
"14",17177,0,2000-01-20,"^BVSP"
"15",17034,0,2000-01-21,"^BVSP"
"16",16972,0,2000-01-24,"^BVSP"
"17",17105,0,2000-01-26,"^BVSP"
"18",17081,0,2000-01-27,"^BVSP"
"19",16734,0,2000-01-28,"^BVSP"
"20",16388,0,2000-01-31,"^BVSP"
"21",16522,0,2000-02-01,"^BVSP"
"22",16868,0,2000-02-02,"^BVSP"
"23",17457,0,2000-02-03,"^BVSP"
"24",17932,0,2000-02-04,"^BVSP"
"25",18126,0,2000-02-07,"^BVSP"
"26",18686,0,2000-02-08,"^BVSP"
"27",18361,0,2000-02-09,"^BVSP"
"28",18604,0,2000-02-10,"^BVSP"
"29",18083,0,2000-02-11,"^BVSP"
"30",17819,0,2000-02-14,"^BVSP"
"31",17921,0,2000-02-15,"^BVSP"
"32",18112,0,2000-02-16,"^BVSP"
"33",17979,0,2000-02-17,"^BVSP"
"34",17625,0,2000-02-18,"^BVSP"
"35",17700,0,2000-02-21,"^BVSP"
"36",17489,0,2000-02-22,"^BVSP"
"37",17833,0,2000-02-23,"^BVSP"
"38",17776,0,2000-02-24,"^BVSP"
"39",17787,0,2000-02-25,"^BVSP"
"40",17543,0,2000-02-28,"^BVSP"
"41",17660,0,2000-02-29,"^BVSP"
"42",17953,0,2000-03-01,"^BVSP"
"43",18016,0,2000-03-02,"^BVSP"
